,Name,Country,Language
197,Casillas,SPAIN,SPANISH
198,G. Donnarumma,ITALY,ITALIAN
199,L. Sané,GERMANY,GERMAN
200,T. Bakayoko,FRANCE,OCCITAN
201,C. Tolisso,FRANCE,OCCITAN
202,I. Slimani,ALGERIA,TAMAZIGHT(LATIN)
203,N. Fekir,FRANCE,OCCITAN
204,J. Seri,IVORY COAST,FRENCH
205,K. Baldé Diao,SENEGAL,WOLOF
206,J. Tah,GERMANY,GERMAN
207,F. Bernardeschi,ITALY,ITALIAN
208,T. Werner,GERMANY,GERMAN
209,André Gomes,PORTUGAL,PORTUGUESE
210,A. Martial,FRANCE,OCCITAN
211,L. Goretzka,GERMANY,GERMAN
212,Q. Promes,NETHERLANDS,FRISIAN
213,Lucas Vázquez,SPAIN,SPANISH
214,Saúl,SPAIN,SPANISH
215,Felipe,BRAZIL,PORTUGUESE
216,C. Bacca,COLOMBIA,SPANISH
217,F. Vázquez,ITALY,ITALIAN
218,M. Kovačić,CROATIA,CROATIAN
219,Sergio Rico,SPAIN,SPANISH
220,Manu Trigueros,SPAIN,SPANISH
221,A. Rüdiger,GERMANY,GERMAN
222,F. Thauvin,FRANCE,OCCITAN
223,S. Savić,MONTENEGRO,SERBIAN (LATIN)
224,Iñigo Martínez,SPAIN,SPANISH
225,Roque Mesa,SPAIN,SPANISH
226,A. Florenzi,ITALY,ITALIAN
227,D. Klaassen,NETHERLANDS,FRISIAN
228,K. Bellarabi,GERMANY,GERMAN
229,R. Sterling,ENGLAND,ENGLISH
230,Suso,SPAIN,SPANISH
231,Deulofeu,SPAIN,SPANISH
232,E. Dier,ENGLAND,ENGLISH
233,M. Rojo,ARGENTINA,SPANISH
234,Lucas,BRAZIL,PORTUGUESE
235,H. Son,KOREA REPUBLIC,KOREAN
236,F. Acerbi,ITALY,ITALIAN
237,G. Xhaka,SWITZERLAND,ROMANSH
238,Jonathan Viera,SPAIN,SPANISH
239,Pizzi,PORTUGAL,PORTUGUESE
240,Willian José,BRAZIL,PORTUGUESE
241,O. Baumann,GERMANY,GERMAN
242,G. Medel,CHILE,SPANISH
243,Víctor Ruíz,SPAIN,SPANISH
244,X. Shaqiri,SWITZERLAND,ROMANSH
245,J. Cuadrado,COLOMBIA,SPANISH
246,C. Immobile,ITALY,ITALIAN
247,Douglas Costa,BRAZIL,PORTUGUESE
248,N. Clyne,ENGLAND,ENGLISH
249,Iborra,SPAIN,SPANISH
250,K. Trapp,GERMANY,GERMAN
251,V. Wanyama,KENYA,KISWAHILI
252,Taison,BRAZIL,PORTUGUESE
253,Marlos,BRAZIL,PORTUGUESE
254,L. Stindl,GERMANY,GERMAN
255,M. Balotelli,ITALY,ITALIAN
256,A. Ramsey,WALES,ENGLISH
257,W. Szczęsny,POLAND,POLISH
258,G. Sigurðsson,ICELAND,ICELANDIC
259,Y. Brahimi,ALGERIA,TAMAZIGHT(LATIN)
260,M. Arnautović,AUSTRIA,GERMAN
261,J. Henderson,ENGLAND,ENGLISH
262,M. Kruse,GERMANY,GERMAN
263,O. Karnezis,GREECE,GREEK
264,L. Fejsa,SERBIA,SERBIAN (LATIN)
265,F. Muslera,URUGUAY,SPANISH
266,V. Ćorluka,CROATIA,CROATIAN
267,G. Wijnaldum,NETHERLANDS,FRISIAN
268,F. Fazio,ARGENTINA,SPANISH
269,O. Giroud,FRANCE,OCCITAN
270,B. Ivanović,SERBIA,SERBIAN (LATIN)
271,J. Hernández,MEXICO,SPANISH
272,Beñat,SPAIN,SPANISH
273,L. Bender,GERMANY,GERMAN
274,A. Witsel,BELGIUM,FRENCH
275,C. Bravo,CHILE,SPANISH
276,A. Begović,BOSNIA HERZEGOVINA,SERBIAN (LATIN)
277,Naldo,BRAZIL,PORTUGUESE
278,D. Sturridge,ENGLAND,ENGLISH
279,D. Rose,ENGLAND,ENGLISH
280,C. Vela,MEXICO,SPANISH
281,E. Viviano,ITALY,ITALIAN
282,G. Castro,GERMANY,GERMAN
283,S. Nasri,FRANCE,OCCITAN
284,A. Williams,WALES,ENGLISH
285,S. Mandanda,FRANCE,OCCITAN
286,L. Baines,ENGLAND,ENGLISH
287,A. Consigli,ITALY,ITALIAN
288,João Moutinho,PORTUGAL,PORTUGUESE
289,B. Costil,FRANCE,OCCITAN
290,Raúl Albiol,SPAIN,SPANISH
291,J. Hart,ENGLAND,ENGLISH
292,M. Gómez,GERMANY,GERMAN
293,Raffael,BRAZIL,PORTUGUESE
294,A. Turan,TURKEY,TURKISH
295,Fernandinho,BRAZIL,PORTUGUESE
296,David Villa,SPAIN,SPANISH
297,S. Lichtsteiner,SWITZERLAND,ROMANSH
298,R. Jarstein,NORWAY,SAMI (SOUTHERN)
299,Gabriel Jesus,BRAZIL,PORTUGUESE
300,Nélson Semedo,PORTUGAL,PORTUGUESE
301,Gelson Martins,PORTUGAL,PORTUGUESE
302,Malcom,BRAZIL,PORTUGUESE
303,J. Weigl,GERMANY,GERMAN
304,D. Sánchez,COLOMBIA,SPANISH
305,A. Kramarić,CROATIA,CROATIAN
306,M. Brozović,CROATIA,CROATIAN
307,Williams,SPAIN,SPANISH
308,Dani García,SPAIN,SPANISH
309,A. Christensen,DENMARK,DANISH
310,J. Kimmich,GERMANY,GERMAN
311,Bruma,PORTUGAL,PORTUGUESE
312,D. Berardi,ITALY,ITALIAN
313,M. Sanson,FRANCE,OCCITAN
314,A. Rabiot,FRANCE,OCCITAN
315,R. Guerreiro,PORTUGAL,PORTUGUESE
316,J. Vardy,ENGLAND,ENGLISH
317,H. Ziyech,MOROCCO,ARABIC
318,M. Keane,ENGLAND,ENGLISH
319,Jorginho,ITALY,ITALIAN
320,Héctor Bellerín,SPAIN,SPANISH
